LAT;;;;;13.0878;13.0878;13.0878
LON;;;;;80.2785;80.2785;80.2785
ASL;;;;;14.0000;14.0000;14.0000
CITY;;;;;Chennai;Chennai;Chennai
DOMAIN;;;;;NEMSIN;NEMSIN;NEMSIN
LEVEL;;;;;sfc;10 m above gnd;10 m above gnd
NAME;;;;;Total cloud cover;Wind speed;Wind direction
UNIT;;;;;%;km/h;°
AGGREGATION;;;;;;;
UTC_OFFSET;;;;;5;5;5

Year;Month;Day;Hour;Minute;Total cloud cover  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd]
2017;04;10;12;00;0.00;23.34;162.96
2017;04;10;13;00;0.00;26.28;156.60
2017;04;10;14;00;8.00;27.37;153.43
2017;04;10;15;00;7.00;26.89;152.06
2017;04;10;16;00;0.00;26.58;151.70
2017;04;10;17;00;0.00;24.97;151.59
2017;04;10;18;00;0.00;23.19;154.23
2017;04;10;19;00;0.00;21.60;156.43
2017;04;10;20;00;0.00;20.99;157.83
2017;04;10;21;00;0.00;20.06;158.96
2017;04;10;22;00;0.00;19.24;162.58
2017;04;10;23;00;0.00;18.08;167.35
2017;04;11;00;00;0.00;17.34;175.24
2017;04;11;01;00;7.50;15.86;182.60
2017;04;11;02;00;100.00;13.98;191.89
2017;04;11;03;00;100.00;15.98;202.52
2017;04;11;04;00;100.00;16.90;206.57
2017;04;11;05;00;100.00;17.24;208.71
2017;04;11;06;00;5.10;17.55;205.51
2017;04;11;07;00;30.00;20.33;202.93
2017;04;11;08;00;30.00;19.52;202.78
2017;04;11;09;00;30.00;19.24;197.42
2017;04;11;10;00;30.00;16.60;183.73
2017;04;11;11;00;30.00;16.39;160.77
2017;04;11;12;00;30.00;19.58;147.77
2017;04;11;13;00;14.40;23.36;146.31
2017;04;11;14;00;30.00;24.66;146.31
2017;04;11;15;00;7.00;25.08;140.83
2017;04;11;16;00;7.00;26.23;136.67
2017;04;11;17;00;3.00;23.17;147.05
2017;04;11;18;00;0.00;21.12;150.38
2017;04;11;19;00;0.00;20.12;153.43
2017;04;11;20;00;0.00;19.01;155.38
2017;04;11;21;00;0.00;17.92;157.56
2017;04;11;22;00;0.00;16.98;158.88
2017;04;11;23;00;0.00;15.60;161.15
2017;04;12;00;00;0.00;14.06;166.68
2017;04;12;01;00;0.00;12.98;176.82
2017;04;12;02;00;100.00;11.93;185.19
2017;04;12;03;00;100.00;12.31;195.26
2017;04;12;04;00;100.00;14.58;200.22
2017;04;12;05;00;100.00;14.33;205.28
2017;04;12;06;00;100.00;14.34;208.50
